endpoint	field_limit	prompt_chars	exit_code	elapsed_sec	output_chars	detail
https://fast.vpsairobot.com/responses	0	13136	1	45.639	0	LLM call exhausted (attempts=1/1, class=timeout, endpoint=https://fast.vpsairobot.com/responses, retryable=True): The read operation timed out
https://fast.vpsairobot.com/responses	1200	6505	1	46.011	0	LLM call exhausted (attempts=1/1, class=timeout, endpoint=https://fast.vpsairobot.com/responses, retryable=True): The read operation timed out
https://fast.vpsairobot.com/responses	800	5134	1	45.638	0	LLM call exhausted (attempts=1/1, class=timeout, endpoint=https://fast.vpsairobot.com/responses, retryable=True): The read operation timed out
https://fast.vpsairobot.com/responses	600	4334	1	45.642	0	LLM call exhausted (attempts=1/1, class=timeout, endpoint=https://fast.vpsairobot.com/responses, retryable=True): The read operation timed out
https://fast.vpsairobot.com/responses	400	3397	1	45.645	0	LLM call exhausted (attempts=1/1, class=timeout, endpoint=https://fast.vpsairobot.com/responses, retryable=True): The read operation timed out
https://fast.vpsairobot.com/responses	250	2647	1	45.639	0	LLM call exhausted (attempts=1/1, class=timeout, endpoint=https://fast.vpsairobot.com/responses, retryable=True): The read operation timed out
https://fast.vpsairobot.com/v1/responses	0	13136	1	45.894	0	LLM call exhausted (attempts=1/1, class=timeout, endpoint=https://fast.vpsairobot.com/v1/responses, retryable=True): The read operation timed out
https://fast.vpsairobot.com/v1/responses	1200	6505	0	4.961	214	ok
https://fast.vpsairobot.com/v1/responses	800	5134	1	45.638	0	LLM call exhausted (attempts=1/1, class=timeout, endpoint=https://fast.vpsairobot.com/v1/responses, retryable=True): The read operation timed out
https://fast.vpsairobot.com/v1/responses	600	4334	1	45.648	0	LLM call exhausted (attempts=1/1, class=timeout, endpoint=https://fast.vpsairobot.com/v1/responses, retryable=True): The read operation timed out
https://fast.vpsairobot.com/v1/responses	400	3397	1	45.894	0	LLM call exhausted (attempts=1/1, class=timeout, endpoint=https://fast.vpsairobot.com/v1/responses, retryable=True): The read operation timed out
https://fast.vpsairobot.com/v1/responses	250	2647	1	45.620	0	LLM call exhausted (attempts=1/1, class=timeout, endpoint=https://fast.vpsairobot.com/v1/responses, retryable=True): The read operation timed out
